Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Add a bottle of renaissauce to your weekly shop!,2022-10-05T20:00:11Z,8935131,526804,0,4730,0.6,https://www.youtube.com/watch?v=FGClFpJZBnw
Well that's one way of putting it 👀 #QI #iPlayer,2023-01-30T21:00:06Z,3346760,93718,0,999,1.0,https://www.youtube.com/watch?v=EkFjKtoCWDg
Easy mistake to make 🤷 #CunkOnBritain #iPlayer #PhilomenaCunk,2023-01-06T08:00:31Z,10161895,530983,0,7965,0.78,https://www.youtube.com/watch?v=sBlRc6ZlhDg
Novak Djokovic couldn’t hold back the tears when his son smiled at him 🥹 #Wimbledon #iPlayer,2023-07-17T11:15:04Z,2342888,119852,0,1290,0.73,https://www.youtube.com/watch?v=sSSSajrLFJg
"Louis, that's no way to speak to a lady 😉 #LouisTherouxInterviews #iPlayer #JudiDench",2022-11-02T10:30:07Z,6713975,382150,0,3435,0.48,https://www.youtube.com/watch?v=L5PPKfWwIUY
One bowl of Soviet onion soup please! 🍲,2022-10-19T11:00:36Z,19475410,1028451,0,17147,0.9,https://www.youtube.com/watch?v=nc_H-bD2khc
Elon Musk disliking smalltalk is the most relatable thing about him  #TheElonMuskShow #iPlayer,2022-10-28T15:00:07Z,4441982,90835,0,3419,0.9,https://www.youtube.com/watch?v=DWllANX7aJA
When asking politely doesn’t work #SASRogueHeroes #iPlayer,2022-11-02T15:00:31Z,2322720,104290,0,943,0.73,https://www.youtube.com/watch?v=XsvzD42V77g
Good point... are they legs or arms? 🐻,2022-10-12T14:00:16Z,41039678,1500031,0,24776,0.37,https://www.youtube.com/watch?v=SByG7JlEOpA
No time for romance during the Black Plague 💔 #CunkOnBritain #iPlayer #PhilomenaCunk,2023-01-03T11:00:30Z,5844551,292969,0,1568,0.45,https://www.youtube.com/watch?v=g09Ufqh4S1Y
@CentralCee  and @SantanDave perform Sprinter ✨#Glastonbury #iPlayer #OurBBC,2023-06-24T21:53:03Z,269712,9797,0,125,0.47,https://www.youtube.com/watch?v=_paPpcBdrMI
that was too long to fit on the badge though 🙃 #SASRogueHeroes #iPlayer,2022-11-24T15:00:23Z,1378420,45143,0,391,0.33,https://www.youtube.com/watch?v=M95Dk_zwqrU
"Poor, poor David 🤣 #Staged #iPlayer",2023-06-23T13:00:25Z,459049,38004,0,129,0.52,https://www.youtube.com/watch?v=VyS9RYir_Jw
"""I'd've rang the police!"" 😂 #CunkOnShakespeare #iPlayer #PhilomenaCunk",2023-01-04T13:00:15Z,3526454,169510,0,1310,0.42,https://www.youtube.com/watch?v=VpwsUIujFRY
💃 LET'S GO GIRLS 💃 #CunkOnBritain #iPlayer #PhilomenaCunk,2022-12-31T13:00:23Z,5482673,250042,0,3084,0.75,https://www.youtube.com/watch?v=U_4OtV-4wLI
Imagine being in the front row!,2022-09-26T19:00:04Z,10381072,420464,0,5842,0.65,https://www.youtube.com/watch?v=8BsHd52ric0
For anyone who (delete as appropriate) has kids/dislikes their job/hates Christmas #SASRogueHeroes,2022-11-17T10:59:09Z,736471,32773,0,507,0.4,https://www.youtube.com/watch?v=ZaNVCrBm6Oc
crying over here @LewisCapaldi  😭 #Glastonbury #iPlayer #OurBBC,2023-06-24T19:20:11Z,806730,22993,0,229,0.43,https://www.youtube.com/watch?v=5pfyQsemMxE
"Don't say that, it was real to me 💔 #WouldILieToYou? #iPlayer #WILTY",2023-03-16T20:30:02Z,205924,4280,0,90,0.87,https://www.youtube.com/watch?v=HuGUVbEso7c
"Philomena Cunk, fully qualified substitute music teacher 🎵",2022-10-11T14:00:15Z,7933585,449593,0,5376,0.73,https://www.youtube.com/watch?v=Y0bwtVjbrGo
Which list were YOU on as a kid? 🎅 #CunkOnChristmas #iPlayer #PhilomenaCunk,2022-12-22T13:00:04Z,4090804,341134,0,2930,0.28,https://www.youtube.com/watch?v=BBaNxmdVxzE
It’s official! #SASRogueHeroes will be continued… #Series2 #iPlayer,2022-12-04T22:15:00Z,196525,7030,0,165,0.97,https://www.youtube.com/watch?v=YUnNSWlo-vg
Where Tommy and Grace's love story began ❤️ #PeakyBlinders #iPlayer,2022-09-26T14:00:31Z,2877662,125299,0,512,0.63,https://www.youtube.com/watch?v=h1xRURbeKg8
How does this expert keep a straight face?!,2022-09-28T17:00:03Z,12299995,624260,0,14169,1.0,https://www.youtube.com/watch?v=6FNv4hsTBM8
History 101 - BBC,2023-01-03T19:00:00Z,61063907,1693076,0,42164,0.5,https://www.youtube.com/watch?v=16J5TrCIEB4
Does this mean the pyramids are basically giant waterslides?,2022-09-22T13:22:32Z,8060301,414705,0,8090,0.5,https://www.youtube.com/watch?v=OuS1WmRwvzU
