Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Chris Rock addresses Will Smith Oscars slap in new Netflix comedy special,2023-03-05T21:00:02Z,984430,34735,0,2128,0.9,https://www.youtube.com/watch?v=13w0XXh0l4k
Biker brazenly smashes windshield,2023-10-04T01:04:23Z,20072873,642044,0,39059,0.62,https://www.youtube.com/watch?v=myx4d6iECmU
Actress Olivia Colman on Hollywood pay gap,2024-03-24T12:58:55Z,63789,1864,0,350,0.57,https://www.youtube.com/watch?v=0-daovXfBuo
Homeowner prevents armed home invasion with gun,2023-10-26T02:35:53Z,1270872,44162,0,3244,0.35,https://www.youtube.com/watch?v=lIcRks7ZZBg
Bruce Willis’ wife begs paparazzi not to yell at him in the street,2023-03-07T19:06:10Z,1144531,32990,0,1832,0.38,https://www.youtube.com/watch?v=wLnZHqB7D9o
House collapses into river,2023-08-07T17:27:09Z,727453,6729,0,357,0.37,https://www.youtube.com/watch?v=62qmjChWZxA
10-year-old steals car to see his mom,2023-06-07T18:24:54Z,221837,7127,0,266,0.58,https://www.youtube.com/watch?v=NIBvk9zPLgM
Kourtney Kardashian announces she's pregnant,2023-06-17T19:10:10Z,299367,7987,0,511,0.57,https://www.youtube.com/watch?v=HTRP88lIEXw
Shannen Doherty shares emotional update on breast cancer spread,2023-06-08T00:08:29Z,173044,3246,0,342,0.5,https://www.youtube.com/watch?v=mJsj66yjJ_Q
Trump compares himself to Navalny,2024-02-21T15:51:50Z,125971,4036,0,1555,0.63,https://www.youtube.com/watch?v=Ct5r_frLW-c
Carol Burnett sings her classic goodbye song,2023-04-29T15:21:09Z,66490,3116,0,178,0.58,https://www.youtube.com/watch?v=SRK0d5zTXZI
Tips to stay cool during a heatwave,2023-06-27T17:57:19Z,37239,1240,0,90,0.93,https://www.youtube.com/watch?v=ltNYApB_sDI
Watch kangaroos hop through snow as cold front hits Australia,2023-05-10T11:56:27Z,50405,1381,0,72,0.35,https://www.youtube.com/watch?v=afi_8f5szF8
Hear Trump's former fixer Michael Cohen's tip for indicted Trump aide,2023-07-28T21:47:19Z,286373,10958,0,1022,0.47,https://www.youtube.com/watch?v=pPG1kXnPjPI
Chaos in New York over Kai Cenat’s giveaway,2023-08-05T00:15:43Z,302308,8438,0,1554,0.97,https://www.youtube.com/watch?v=d0JfsGu1G5Q
GOP lawmakers react to Jim Jordan’s risky plan,2023-10-19T21:02:59Z,266934,8168,0,913,0.85,https://www.youtube.com/watch?v=cj2iC13dJUI
Watch Paltrow on the stand describe anger over ski collision,2023-03-25T01:44:04Z,341152,4590,0,940,0.92,https://www.youtube.com/watch?v=_h37eNwVFY8
Driverless car destroyed in San Francisco,2024-02-13T02:14:43Z,73379,1252,0,332,0.7,https://www.youtube.com/watch?v=1-Is3_ToJc0
Alexandria Ocasio-Cortez slams GOP in House floor speech,2023-02-03T01:56:08Z,480384,20120,0,5657,0.95,https://www.youtube.com/watch?v=K0cFucCxv1I
Watch as jury reads verdict in Gwyneth Paltrow ski collision trial,2023-03-31T01:05:31Z,1269661,18902,0,2260,1.0,https://www.youtube.com/watch?v=vtCzYzq4I8E
Travel essentials from a frequent flyer,2023-06-08T15:00:41Z,22252,391,0,68,0.98,https://www.youtube.com/watch?v=vwgwL-ohF_E
Watch Ryan Reynolds' football team break a 15-year losing streak,2023-04-24T23:34:36Z,291501,8695,0,159,0.93,https://www.youtube.com/watch?v=wkBVZtLIbf4
