Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Kirby GOD vs the most stressful Kirby game,2023-05-07 14:33:43,584106,14387,0,636,9.97,https://www.youtube.com/watch?v=O4LB5gDLeVY
So I broke the NEW Kirby..,2022-11-27 19:45:22,1340988,25194,0,1067,9.48,https://www.youtube.com/watch?v=o1njZZsUUXM
Kirby but every 30 seconds a Boss spawns,2023-12-23 19:01:43,158841,11006,0,94,1.0,https://www.youtube.com/watch?v=sv5ejCMXO08
I made an Ai Grandma,2023-09-17 16:37:07,831556,25348,0,1386,9.45,https://www.youtube.com/watch?v=8J27VFIIfnA
So I broke the NEW Kirby again..,2022-12-18 17:19:25,2637090,32448,0,1397,11.48,https://www.youtube.com/watch?v=GQy4xOSbj8k
kirby is not here,2023-04-18 19:51:40,532584,17195,0,1252,17.98,https://www.youtube.com/watch?v=BGQQf4ztMAA
"""I bet $300 we wont get Kirby today lol""",2022-02-10 20:43:26,821039,30368,0,1058,8.1,https://www.youtube.com/watch?v=q-P2MWkoAZI
Can I beat the FIRST LEVEL of Kirby if random effects happen every 5 seconds?,2023-12-24 22:10:14,820032,21953,0,1412,15.43,https://www.youtube.com/watch?v=2AW0s4o3Xqc
I play Tears of the Kingdom but attempt to exude general disorder and chaos wherever possible,2023-05-14 19:18:34,573085,16379,0,810,17.7,https://www.youtube.com/watch?v=qo9Cp1Ng53c
Using Mods to play as Kirby in Splatoon,2023-07-30 19:18:24,336906,12340,0,462,16.07,https://www.youtube.com/watch?v=67KpBVzMT74
"Pokemon Legends, but I have a knife",2022-01-28 22:58:03,543775,20254,0,752,8.85,https://www.youtube.com/watch?v=LEpFnWsOLTE
Full-Time Kirby player cheats a Kirby Speedrun,2023-04-30 19:35:37,1560794,27938,0,1159,16.42,https://www.youtube.com/watch?v=WpVXFxLzf_o
I turned my Live Chat into Lumas,2024-03-24 17:06:56,550194,18838,0,1391,14.22,https://www.youtube.com/watch?v=OX2gVbKfPtg
So I glitched Kirby..,2022-04-23 16:45:57,2659383,37680,0,1643,12.8,https://www.youtube.com/watch?v=SERo0V-o0T4
Kirby but if he gets a coin he INSTANTLY dies and its really sad because watching Kirby die is sad,2023-04-09 20:15:38,860656,20487,0,1216,13.15,https://www.youtube.com/watch?v=q2Vmtj3zNVE
Testing how far you can drop your X Rank in just 2 hours,2022-09-08 18:01:33,392411,13868,0,542,12.15,https://www.youtube.com/watch?v=4EQkedwO2k8
hide,2023-12-17 22:04:11,2001970,34420,0,2347,17.15,https://www.youtube.com/watch?v=b8LmlT5YJhc
Can I use Ai to fix Animal Crossing?,2023-10-15 19:55:39,616897,23844,0,1110,14.47,https://www.youtube.com/watch?v=HilS7-t2lAQ
The most Violent Kirby game,2022-05-22 21:03:49,2604745,41522,0,1684,12.45,https://www.youtube.com/watch?v=vTqVmHEXNxI
My friend blindfolded me while playing Kirby Forgotten Land,2023-10-21 18:52:01,214667,15223,0,168,0.93,https://www.youtube.com/watch?v=CmTvmwl2_Ek
idiot,2024-03-17 19:38:03,1031104,26518,0,1637,18.33,https://www.youtube.com/watch?v=qlgwlAADH28
Mods 🤤,2022-03-19 20:06:33,739139,21086,0,940,12.32,https://www.youtube.com/watch?v=WinMr9aUN4A
