Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Is this healthy food?,2024-03-03T11:00:37Z,625399,32416,0,170,1.0,https://www.youtube.com/watch?v=jNHy7PxoNhQ
Puppy wants to eat an apple 🤣🍏 #shorts,2023-08-18T11:00:49Z,523812,19832,0,153,1.0,https://www.youtube.com/watch?v=wfWjR7qJMs4
Korean comfort home meal,2023-12-12T11:00:39Z,1900153,90427,0,239,1.0,https://www.youtube.com/watch?v=ozcdA4oxF80
Do you want to join us? #shorts,2023-05-03T11:00:13Z,1527460,65034,0,223,1.0,https://www.youtube.com/watch?v=MpgZ18_CzgQ
korean style Hotdog 🌭 #shorts,2023-05-24T11:00:38Z,796034,35510,0,181,0.98,https://www.youtube.com/watch?v=mmr8DBiiaHw
Have to eat when it rains... #shorts #이비가짬뽕,2023-07-07T11:00:40Z,7079895,251404,0,994,1.0,https://www.youtube.com/watch?v=j6IB43FPu5U
Korean comfort home meal 😚,2023-10-27T11:00:22Z,809687,24038,0,224,1.02,https://www.youtube.com/watch?v=GmhsCkAfhwY
Oysters are really cheap in Korea 😋👍,2023-12-31T11:00:08Z,625743,21355,0,123,1.0,https://www.youtube.com/watch?v=AdeokjKTpns
Jjajang wants to eat snacks too! #shorts,2023-08-27T11:00:36Z,235334,8315,0,108,0.58,https://www.youtube.com/watch?v=neyAMqbNkUY
Do you want a bite? #shorts #BraisedSpicyChicken,2023-03-04T11:00:09Z,451226,23167,0,149,1.0,https://www.youtube.com/watch?v=9LPSHqce5_Q
Do you want a bite? #shorts,2023-04-16T11:00:19Z,522034,20922,0,104,1.0,https://www.youtube.com/watch?v=MHokmgT2uSQ
"Real Mukbang:) Tender Braised Pork ☆ Korean Style Seasoned Fresh Oysters, rice wine",2024-01-25T11:00:08Z,5347581,52710,0,1176,11.58,https://www.youtube.com/watch?v=CWUQFSN4MgI
Real Mukbang:) Korean Home Meal ☆ Real pique one's appetite,2023-10-19T11:00:27Z,9267498,81089,0,1623,11.95,https://www.youtube.com/watch?v=f6NigurDekg
Real Mukbang:) Spicy Mala-cream Tteokbokki & Fried Shrimp... How much is it all?,2024-03-04T11:00:35Z,1788312,30886,0,786,11.13,https://www.youtube.com/watch?v=cgOrhyI865c
"Real Mukbang:) This is pasta, not ramyun! ""Korean chicken cream pasta""",2024-03-18T11:00:06Z,1385569,26288,0,897,9.63,https://www.youtube.com/watch?v=CKztovbwxjU
Do you want a bite? #Shorts #galbi,2023-01-11T11:00:43Z,466986,10238,0,79,0.97,https://www.youtube.com/watch?v=T5HYfHxm4aA
"Actually, Jjajang is an actor 😂 #shorts #behindscenes",2023-06-04T11:00:10Z,664532,18746,0,230,0.88,https://www.youtube.com/watch?v=JkOJu-L3xH4
It's so delicious! #shorts #CheeseGrilledScallops #SteamedConch,2023-08-25T11:00:30Z,260256,9965,0,78,1.0,https://www.youtube.com/watch?v=LAalzMbu0bQ
Mukbang behind the scenes 3 #shorts #NG,2023-05-30T11:00:00Z,705103,16404,0,217,0.75,https://www.youtube.com/watch?v=-csjF8oiOQ8
Korean street food!,2023-11-26T11:00:09Z,1102246,38178,0,299,1.0,https://www.youtube.com/watch?v=CzN-PzBkyog
Do you like this? #shorts,2023-04-25T11:00:10Z,438245,11717,0,120,0.98,https://www.youtube.com/watch?v=FYdH0R1gv1I
Korean home meal... kimchi stew,2024-01-23T11:00:04Z,347145,15868,0,59,1.0,https://www.youtube.com/watch?v=3Yx4pl2k35w
Watermelon growing in my body? 😂 #shorts,2023-05-23T11:00:38Z,331312,9303,0,130,1.0,https://www.youtube.com/watch?v=mGz-2Ne2F20
Do you want to join us? #shorts,2023-04-07T11:00:44Z,419682,13863,0,139,0.9,https://www.youtube.com/watch?v=we8oMmCQ28Q
SUUUUPER juicy Melon 🍈 #shorts,2023-05-26T11:00:44Z,300481,9879,0,89,0.98,https://www.youtube.com/watch?v=uoUYUjZLLso
Have you tried sugar tomatoes? 🍅 #shorts,2023-05-12T11:00:24Z,316368,9883,0,195,0.87,https://www.youtube.com/watch?v=ZUSrZk4TkGY
What Koreans Must Eat in Fall,2023-10-24T11:00:49Z,1753965,36734,0,439,1.0,https://www.youtube.com/watch?v=xN9V7ml0Vwg
Do you want to join us? #shorts,2023-04-05T11:00:03Z,541428,18683,0,226,1.0,https://www.youtube.com/watch?v=2ns6AD8qSoM
Korean desserts is pretty delicious 😲,2023-11-06T11:00:04Z,337899,10499,0,108,1.02,https://www.youtube.com/watch?v=4I_uL-AlIJU
Korean Chicken Stew #닭도리탕,2024-01-05T11:00:15Z,420984,17142,0,77,1.0,https://www.youtube.com/watch?v=J4ejWv0sGFI
Real Mukbang:) “Spicy buldak noodles & Dumplings” eaten after gardening,2024-03-25T11:00:25Z,1877292,34443,0,937,10.73,https://www.youtube.com/watch?v=_HXgsV8yvhw
Real Korean Home meal 😋,2023-10-10T11:00:16Z,512958,14318,0,223,1.0,https://www.youtube.com/watch?v=QrYlZ48Rj-I
초초초간단 잡채 #새미네부엌,2024-02-09T11:00:12Z,272646,10100,0,46,1.0,https://www.youtube.com/watch?v=EG-aH4VVvVQ
Do you want a bite? #shorts #pineapple,2023-03-14T11:00:29Z,363610,12553,0,91,0.98,https://www.youtube.com/watch?v=lMg-fjtU7YM
Mukbang behind the scenes 2 #shorts #NG,2023-05-05T11:00:38Z,4592116,139571,0,1062,0.8,https://www.youtube.com/watch?v=nijiO6BrkDU
Korean Comfort foods 😋 #shorts,2023-07-16T12:30:20Z,1236876,44747,0,272,1.0,https://www.youtube.com/watch?v=g1llDez0fCU
Do you know this? #shorts #koreantraditionalcookies #약과쿠키,2023-05-21T11:00:28Z,462859,10773,0,152,0.78,https://www.youtube.com/watch?v=r1h74vmLUk4
GIANT KING CRAB 🦀,2023-11-21T11:00:27Z,457064,18816,0,142,1.0,https://www.youtube.com/watch?v=Lsu0it4Pv_I
