Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
i am who i always was. #YouTubePrideChallenge #ad,2022-06-28 21:48:10,114763,6791,0,68,0.27,https://www.youtube.com/watch?v=mwPt6_bJcnk
how you know my Polish mom came to visit. #polish #poland #polska #girldinner,2023-08-08 19:05:19,244080,18307,0,166,0.13,https://www.youtube.com/watch?v=d0pm3lgg1nQ
"call me crazy, i literally don't care.",2023-09-05 19:40:23,366044,28162,0,323,0.32,https://www.youtube.com/watch?v=zVmTQVYs9MY
my fertile glowy amniotic fluid makeup tutorial #grwm #makeup,2023-06-09 22:01:16,105192,11556,0,68,1.0,https://www.youtube.com/watch?v=_Qp_2y6rmUo
why did this happen at the arctic monkey's concert...?,2023-09-08 17:33:50,106946,11050,0,54,0.18,https://www.youtube.com/watch?v=Z4QvMqtK2Cg
me deciding to google who the lead singer of the strokes is… #shorts,2022-06-01 23:18:40,334983,18473,0,368,0.15,https://www.youtube.com/watch?v=AiQqyjCoAHI
what really happens after you move out of your hometown...,2022-05-23 20:29:33,153390,11117,0,68,0.15,https://www.youtube.com/watch?v=UzpnxTcHSpA
what it's like having OCD,2023-08-02 22:05:24,117023,8586,0,70,0.13,https://www.youtube.com/watch?v=MnBIQ3vXDEU
my cat slapped the absolute life out of me.,2022-03-14 22:57:12,159424,12757,0,121,0.33,https://www.youtube.com/watch?v=QEeHCRSec94
absolute rager at the betsy ross house.,2023-08-07 17:02:28,27472,1498,0,24,0.12,https://www.youtube.com/watch?v=RjlrjTruJC4
black cats are not born with brains.,2023-12-02 17:47:31,84239,13896,0,165,0.57,https://www.youtube.com/watch?v=OO3DGMuKM8Q
i'm glad jennette mccurdy's mom died too.,2022-08-21 16:39:50,606334,34620,0,969,17.37,https://www.youtube.com/watch?v=0SO2HTtcMz0
i would cheat on my boyfriend with these women.,2022-05-18 19:06:08,65261,6192,0,34,0.93,https://www.youtube.com/watch?v=zZLGek_gNGg
how to move out of ur parents' house! *a step by step guide*,2022-04-28 21:41:13,688826,67120,0,1285,20.38,https://www.youtube.com/watch?v=bFWHm1wV27s
a chronically online girl explains Frenemies lore (& why it ended),2023-09-15 01:56:35,2108200,98451,0,3525,42.47,https://www.youtube.com/watch?v=1CVuBdBH4oQ
a chronically online girl explains Saltburn lore.,2023-12-30 02:06:35,946915,50508,0,2452,45.75,https://www.youtube.com/watch?v=GI5LoK03eF0
true crime fans deserve JAIL TIME.,2022-10-17 02:48:02,655437,44188,0,2830,21.57,https://www.youtube.com/watch?v=tpVPCyoEt1s
how i style my shag haircut 👩🏻‍🦲⭐️ #grwm #hairstyle #haircut,2023-06-30 18:11:10,73457,4667,0,48,1.02,https://www.youtube.com/watch?v=cFoE_nBl0mE
"it's ok to age, i promise.",2023-02-16 02:36:37,667491,40211,0,2139,28.15,https://www.youtube.com/watch?v=Jvq1lVg2JGY
