Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
How did this Happen...,2023-09-25 15:00:17,232491,11366,0,66,0.28,https://www.youtube.com/watch?v=FFy_DBnev_w
One Shot BRO!!,2023-03-20 18:00:00,876036,56742,0,451,0.45,https://www.youtube.com/watch?v=-OibWJsoCmA
About the Heavy Sniper…,2023-03-23 17:00:36,4558651,251879,0,1047,0.27,https://www.youtube.com/watch?v=qxagCJiv2eY
It's a SKILL issue...,2023-03-13 18:00:06,702118,43217,0,446,0.3,https://www.youtube.com/watch?v=8lXHGVhDKSI
We NEED to Talk About this Aim.,2023-04-06 18:00:11,1654440,104760,0,719,0.58,https://www.youtube.com/watch?v=fK0InT7jEmY
This is Why I'm The Best..,2024-02-10 17:00:48,621101,27582,0,333,0.48,https://www.youtube.com/watch?v=yRnUpeX3y2I
Never Seen SypherPK this MAD!,2023-01-26 19:00:00,1206793,56004,0,173,0.23,https://www.youtube.com/watch?v=-pUPRTt7Gic
This Only Happens ONCE.,2024-02-13 17:00:26,422885,30470,0,75,0.25,https://www.youtube.com/watch?v=Yx522hWNDqk
This Kid NEEDS to Touch Grass...,2023-03-07 18:00:19,7023930,458208,0,3883,0.45,https://www.youtube.com/watch?v=kDfn0Trvu-s
Clingers are the META in Fortnite Chapter 5,2023-12-16 17:00:23,386987,19046,0,106,0.32,https://www.youtube.com/watch?v=KG9XF5nWgu0
Ending Season 1 With a BANG,2023-03-09 19:00:12,1000099,36383,0,136,0.37,https://www.youtube.com/watch?v=SwLG1IiIQUc
I GOT A SIGNED ST. BROWN JERSEY?! Thank you @NFL FOR HAVING ME #NFLPartner #NFLCreatorOfTheWeek,2024-01-16 20:13:12,157740,8481,0,102,0.33,https://www.youtube.com/watch?v=zlx6C7Nfp08
Best Escape in Fortnite History,2023-07-15 18:31:01,1364445,78497,0,424,0.93,https://www.youtube.com/watch?v=ybN06qHSLS4
