Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
quick grwm 🌟,2024-01-13 23:22:16,86076,7149,0,72,0.28,https://www.youtube.com/watch?v=Tw2u4g5qpC8
shopping for viral tiktok makup at ulta,2023-08-23 23:42:33,381207,12696,0,248,9.35,https://www.youtube.com/watch?v=HIpTojixKsI
How I do my hair💆‍♀️,2024-03-14 23:09:31,79588,0,0,45,0.82,https://www.youtube.com/watch?v=d7Q8JRAA6JY
#ad it’s always a good morning with @Quaker  Fruit Fusion Instant Oatmeal 🍯,2023-10-20 20:59:31,44223,0,0,24,0.62,https://www.youtube.com/watch?v=1KnbptJG6_Q
VLOG ★ grocery shopping + school,2022-10-09 23:00:15,142833,7273,0,161,7.05,https://www.youtube.com/watch?v=7orcSH2fr_0
"PRODUCTIVE SUNDAY RESET VLOG // organizing, grocery shopping, & deep cleaning",2024-03-22 21:06:44,233630,9874,0,268,11.65,https://www.youtube.com/watch?v=tbc2hP_fRXA
my college night routine (vlog style),2023-02-12 19:14:32,266482,9300,0,175,11.88,https://www.youtube.com/watch?v=E77FWJRHjVs
decorating my NYC apartment! ★ MOVING VLOGS ep.2,2023-10-15 21:25:08,208780,10652,0,280,9.28,https://www.youtube.com/watch?v=GLBxtOxmxBo
VLOG ★ a day in my life,2023-01-22 23:04:53,189710,8349,0,234,9.03,https://www.youtube.com/watch?v=7uaDZ8whGTg
"VLOG ★ a busy day in my life (makeup shopping, new hair, etc.)",2022-04-06 19:42:02,222137,11031,0,265,8.58,https://www.youtube.com/watch?v=yiFm2-nKGqI
"VLOG ★ a busy day in my life (makeup shopping, errands, etc)",2023-04-16 20:04:59,314454,11119,0,183,9.2,https://www.youtube.com/watch?v=kpEh8Y-Xffo
hi nyc,2024-01-12 19:19:16,64088,5962,0,55,0.1,https://www.youtube.com/watch?v=BKd0rIancbg
let's go self care shopping at target,2023-03-20 00:06:40,1257550,39640,0,586,10.25,https://www.youtube.com/watch?v=p4pGLIfZnxM
VLOG ★ a productive day in my life,2022-09-17 23:01:49,126678,7007,0,195,7.52,https://www.youtube.com/watch?v=sRLY16kugT8
my eating disorder story,2022-06-26 19:23:05,505578,22886,0,880,9.87,https://www.youtube.com/watch?v=7YgbcfHCO0c
trying every coffee shop in New York,2023-11-13 18:54:46,472198,18489,0,539,12.42,https://www.youtube.com/watch?v=VJvjpWmzytE
What I Eat in a Day... *lazy girl edition*,2024-03-10 18:55:11,215197,9990,0,273,11.63,https://www.youtube.com/watch?v=9zJlWn3aNIY
