Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
I CREATE FRAUD DETECTION MACHINE LEARNING MODEL USING PYTHON | | Machine learning projects,2023-10-02T16:00:07Z,111,1,0,0,3.77,https://www.youtube.com/watch?v=43ECUkOOmG0
I import Excel file with pandas and display it to Console in 4sec using Python | #python #code #fyp,2023-05-04T14:11:27Z,17012,349,0,2,0.15,https://www.youtube.com/watch?v=eesyMsoWsE4
f-string in python | python for beginners,2023-10-29T16:00:34Z,70,3,0,2,2.65,https://www.youtube.com/watch?v=hC0V1YHraWY
Adding data to excel file using Python | python excel | python in excel | python and excel,2023-11-10T13:00:16Z,105,3,0,0,2.62,https://www.youtube.com/watch?v=JEBS94yFIwE
I Create Text to Speech Convertor in One Minute using Python,2023-05-29T17:10:41Z,66,2,0,0,1.03,https://www.youtube.com/watch?v=uxPDGjJxOQY
I CREATE AI BASED DEFENSE SYSTEM USING PYTHON,2023-10-20T15:00:18Z,117,4,0,0,2.62,https://www.youtube.com/watch?v=M20AwCBmwq0
Tickle your funny bone | Watch how Python Generates Jokes | #python #coding #funny #code,2023-06-04T15:43:56Z,61,3,0,0,1.52,https://www.youtube.com/watch?v=vdqSCeIjmKo
PYTHON FULL COURSE | PYTHON FOR BEGINNERS | PYTHON INSTALLATION AND SETUP,2023-09-21T14:00:27Z,214,3,0,1,3.0,https://www.youtube.com/watch?v=TyKWRa8YqZU
PYTHON FULL COURSE | PYTHON FOR BEGINNERS | PYTHON Functions,2023-09-29T13:00:02Z,64,4,0,0,3.13,https://www.youtube.com/watch?v=2QxNDBURNbI
I Create Spam Detection Machine Learning Model Using Python & python projects & python for beginner,2023-12-11T16:00:20Z,94,2,0,0,5.0,https://www.youtube.com/watch?v=NEvG6S6QjN8
PYTHON FULL COURSE | PYTHON FOR BEGINNERS | PYTHON Course Conclusion,2023-09-29T13:00:46Z,68,4,0,2,1.17,https://www.youtube.com/watch?v=mohsF1GrA-M
PYTHON FULL COURSE | PYTHON FOR BEGINNERS | YOUR FIRST PYTHON PROGRAM,2023-09-21T14:00:23Z,90,2,0,0,2.8,https://www.youtube.com/watch?v=cFNBMhbTwnw
I CREATE ANIMATION APP IN ONE MINUTE USING PYTHON,2023-07-15T16:15:02Z,157,6,0,0,1.13,https://www.youtube.com/watch?v=YhNb4sG7Pb4
